repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
4294,0,0,0,0,0,0
3424,0,0,0,0,0,0
5458,0,0,0,0,0,0
29427,0,0,0,0,0,0
5026,0,0,0,0,0,0
37579,5,0,0,0,0,0
2008,0,0,0,0,0,0
11032,7,0,28,84,0,0
45129,0,0,1,1,0,0
7287,0,0,0,0,0,0
32200,9,0,18,21,6,0
214,0,0,0,0,0,0
19668,0,0,2,2,0,0
4802,0,0,0,0,0,0
36040,180,0,330,539,198,99
38177,8,0,0,0,1,0
14847,0,0,1,1,0,0
6144,0,0,0,0,0,0
44879,39,0,0,0,0,0
8288,0,0,0,0,0,0
25771,64,0,6,15,72,57
24662,0,0,0,0,0,0
44473,0,0,1,0,0,0
176,0,0,0,0,0,0
34230,3,0,0,0,1,0
12844,8,0,4,58,12,22
9490,0,0,0,0,0,0
1774,0,0,0,0,0,0
23686,84,0,28,192,80,24
5885,0,0,0,0,0,0
10460,145,0,0,676,0,0
16267,4,0,1,1,3,0
4019,0,0,0,0,0,0
2067,0,0,0,0,0,0
30585,11,0,3,14,5,14
14980,13,0,4,6,4,12
