repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
1077,112,0,306,1044,504,963
1078,3097,5448,33142,99426,0,0
1079,203,0,549,2862,288,171
1080,2221,1536,0,0,0,0
1081,299,84,0,56,0,0
1082,2,0,0,0,0,0
1083,36,0,0,26,0,0
1084,29,5,0,20,50,55
1086,66,0,213,390,54,51
1087,259,22,0,484,88,308
1088,385,0,60,830,180,490
1089,475,0,510,2240,250,90
1090,243,60,0,135,645,1095
1092,342,44,319,1221,286,330
1093,35,6,0,60,0,0
1095,9,0,16,42,14,40
1096,119,0,0,0,0,0
1097,616,0,0,530,0,0
1099,109,0,250,1170,30,40
1100,195,42,0,399,0,0
1101,100,0,0,0,0,0
1103,2571,1396,0,0,0,0
1105,197,0,0,48,624,768
1106,0,0,52,168,0,0
1107,116,15,0,0,45,150
1108,734,275,0,0,0,0
1109,103,10,112,350,94,150
1110,472,72,0,36,0,0
1112,77,0,0,30,0,0
1113,0,0,0,26,48,26
1114,14,0,56,96,2,6
1115,217,0,0,96,0,0
1117,237,0,988,1197,95,19
1118,61,0,0,66,264,242
1119,1865,112,5600,5096,5600,336
1120,29,0,0,144,0,0
1121,247,0,0,91,0,0
1122,8,2,9,38,2,6
1123,2798,0,0,3128,0,0
1124,43,0,0,42,0,0
1125,238,144,0,0,2160,1728
1126,14,0,0,30,55,60
1127,272,0,552,1128,376,32
1129,86,0,0,115,145,405
1130,45,75,0,75,0,0
1131,343,180,600,2544,522,2580
1132,174,0,0,216,0,0
1134,376,369,0,0,0,123
1135,1149,28,0,3276,0,56
1136,1342,0,0,3232,0,606
1137,972,102,0,1632,0,0
1139,144,0,210,595,217,133
1140,95,0,0,456,0,38
1141,1063,0,0,2093,0,0
1142,241,32,0,16,48,80
1144,2563,1036,0,74,0,0
1146,853,0,0,244,0,0
1148,133,0,0,228,12,228
1149,44,0,0,15,0,0
1150,74,0,44,396,140,148
1152,44,0,174,600,150,102
1153,15,0,0,0,25,15
1154,1069,0,2100,8295,2100,4431
1156,138,24,0,0,0,0
1159,548,164,0,41,0,0
1161,1298,0,1830,1890,3000,540
1163,16894,0,68798,164444,15941,73832
1164,25,0,38,48,6,4
1165,270,0,0,40,0,170
1166,27,0,0,0,0,0
1167,403,178,0,178,0,0
1168,87,13,0,143,780,1664
1170,165,0,164,318,52,28
1171,1828,201,0,2613,0,268
1172,6719,157,0,1884,0,0
1175,19,15,0,150,35,40
1176,146,70,0,460,0,0
1177,1287,273,0,1365,0,1001
1178,74,12,0,0,84,84
1179,94,0,120,462,180,195
1180,208,0,142,284,355,639
1181,70,10,0,40,0,0
1184,11,0,0,0,0,0
1185,4460,738,0,1845,0,0
1187,58,0,32,56,12,4
1188,21,0,0,56,0,84
1189,241,0,0,44,0,0
1190,2371,1256,0,0,0,0
1191,1351,117,3627,15522,3666,17628
1192,101,0,208,428,40,16
1193,126,0,0,36,0,0
1196,157,54,0,36,0,0
1198,41,0,0,42,0,14
1199,123,0,138,912,114,258
1200,591,244,5124,12810,5612,1220
1202,6,0,0,12,10,16
1204,48,0,0,324,0,0
1205,170,0,0,34,0,0
1206,1,0,0,12,8,2
1207,117,0,0,104,0,24
1209,15,0,0,0,28,42
1210,216,62,0,0,0,0
1212,4,0,0,0,0,0
1213,4815,3088,0,0,0,1930
1214,0,0,0,6,1,1
1216,1175,80,40,2800,1560,2960
